model,Accuracy,Precision,Recall,F1
Hybrid Model,0.7949683042789224,0.6443370165745856,0.997327632282202,0.7828823159219634
Random Forest,0.7949683042789224,0.6447368421052632,0.9951897381079636,0.7825173355747006
Tuned XGBoost,0.7949683042789224,0.6449375866851595,0.9941207910208445,0.7823343848580442
Stacking Model,0.794770206022187,0.6457242582897034,0.9887760555852485,0.78125
Gradient Boosting,0.7937797147385103,0.6440972222222222,0.9914484233030465,0.7808882340559882
Logistic Regression,0.7872424722662441,0.6548775748153906,0.9005879208979155,0.7583258325832584
