iter	Logloss
0	0.6581397432
1	0.6310549854
2	0.600427472
3	0.574365245
4	0.5520003134
5	0.5276665661
6	0.511496883
7	0.4928035069
8	0.4790570598
9	0.4638548222
10	0.4501866951
11	0.4376342366
12	0.4270900635
13	0.421466978
14	0.4126423219
15	0.4068172299
16	0.4001198209
17	0.3928512165
18	0.3870900535
19	0.38182447
20	0.3764869678
21	0.3728500178
22	0.3674544888
23	0.3636466516
24	0.3596066394
25	0.3570733715
26	0.354007938
27	0.3512404682
28	0.3493011232
29	0.3474538273
30	0.3448648744
31	0.3431770641
32	0.3410286552
33	0.3407576925
34	0.3378477184
35	0.3368431373
36	0.3352230064
37	0.3338607142
38	0.3319239199
39	0.3309130119
40	0.330148563
41	0.3292789371
42	0.3271882523
43	0.3253349341
44	0.3250186193
45	0.3241387131
46	0.3228549537
47	0.3213635377
48	0.3209394713
49	0.3209165307
50	0.319895099
51	0.3193527919
52	0.3180717078
53	0.3169797511
54	0.3163393365
55	0.3150071065
56	0.3146087738
57	0.3139257338
58	0.3131151074
59	0.3125076803
60	0.3121188977
61	0.310919506
62	0.3103635819
63	0.3093581671
64	0.3087171537
65	0.307922727
66	0.3073347683
67	0.3068186954
68	0.3063719224
69	0.305714665
70	0.3048521327
71	0.3041781305
72	0.303287852
73	0.3032713569
74	0.3031157104
75	0.3027068328
76	0.3019559577
77	0.3017081754
78	0.3013019949
79	0.3008321412
80	0.3004985597
81	0.2996259618
82	0.2991431039
83	0.2984783178
84	0.2978967039
85	0.2974867003
86	0.2973087597
87	0.2967151183
88	0.2964042229
89	0.2955195836
90	0.294972686
91	0.2946448517
92	0.2943300172
93	0.2941828915
94	0.2937486767
95	0.293183189
96	0.2929096245
97	0.292542865
98	0.291928085
99	0.2914352301
100	0.2912608095
101	0.2905686992
102	0.2899679071
103	0.2896251314
104	0.2891838768
105	0.2883516852
106	0.2878655478
107	0.2874229365
108	0.2870932423
109	0.2864587741
110	0.2864074984
111	0.2857166053
112	0.2850799414
113	0.2843182697
114	0.2839628704
115	0.2835636105
116	0.2833956124
117	0.283038664
118	0.282682944
119	0.2819510534
120	0.2814145803
121	0.2807616211
122	0.2807184861
123	0.280365457
124	0.2799974154
125	0.2797205222
126	0.2796881755
127	0.2793820099
128	0.2789031818
129	0.2786525394
130	0.2782344732
131	0.2777349256
132	0.2771417458
133	0.2765544517
134	0.2762784207
135	0.2757277848
136	0.2753990488
137	0.2749896882
138	0.274386887
139	0.2739596021
140	0.2736230727
141	0.273457955
142	0.2732999691
143	0.2726513823
144	0.2721943102
145	0.2719349169
146	0.271529932
147	0.2712082541
148	0.2710762095
149	0.270948077
150	0.2706698187
151	0.2700389601
152	0.2695294573
153	0.2692395597
154	0.268783868
155	0.2682324417
156	0.2678669462
157	0.2670991395
158	0.2668399115
159	0.266707135
160	0.2661937665
161	0.2657454066
162	0.2652712539
163	0.2650078756
164	0.2645169136
165	0.2639109752
166	0.2637737638
167	0.263158304
168	0.2628608067
169	0.2620744053
170	0.2620702684
171	0.2614883139
172	0.2610978351
173	0.2607521452
174	0.2604370048
175	0.2602774324
176	0.2601831873
177	0.2596273636
178	0.2592514629
179	0.2587873121
180	0.2582988259
181	0.2579601297
182	0.2577685381
183	0.2577430506
184	0.257124651
185	0.2569735603
186	0.2568468517
187	0.2564366308
188	0.2559332422
189	0.2557411269
190	0.2554129711
191	0.2548142179
192	0.2542151725
193	0.2541978455
194	0.2539562831
195	0.2536932098
196	0.2532441909
197	0.2527380836
198	0.2525893018
199	0.2523095277
200	0.2521845277
201	0.2517977274
202	0.2515628138
203	0.2515434089
204	0.251496949
205	0.2512500139
206	0.2508513681
207	0.2502806284
208	0.2496823057
209	0.2492534216
210	0.2491099674
211	0.2489566207
212	0.2487190694
213	0.2481345146
214	0.2479974198
215	0.2477916242
216	0.2477268838
217	0.2474909003
218	0.2472645872
219	0.2468677679
220	0.2466188773
221	0.2463096669
222	0.2459425055
223	0.245833657
224	0.2454540646
225	0.2451681706
226	0.2449333905
227	0.244823268
228	0.2447336042
229	0.2444895142
230	0.2441467374
231	0.2438630436
232	0.2438403269
233	0.2434727974
234	0.2431357604
235	0.2431357577
236	0.2429703894
237	0.2427092378
238	0.2426948057
239	0.242313453
240	0.242091562
241	0.2419690098
242	0.2419603009
243	0.241687929
244	0.2412298601
245	0.2408835512
246	0.2406799026
247	0.2401221491
248	0.2398512692
249	0.2397508697
250	0.2396361819
251	0.239334609
252	0.2390561317
253	0.2387639655
254	0.2384725697
255	0.2383155582
256	0.2383155579
257	0.2380970977
258	0.2379303251
259	0.2376137748
260	0.2373872387
261	0.236946243
262	0.2362503406
263	0.2359844259
264	0.2353079686
265	0.2351578998
266	0.2348762141
267	0.2345618152
268	0.2343324623
269	0.234180022
270	0.2341520081
271	0.2338607081
272	0.2337479705
273	0.2333865641
274	0.2328183568
275	0.2325830939
276	0.2323121519
277	0.2319915955
278	0.2317828689
279	0.2315107849
280	0.2311765735
281	0.2307431382
282	0.2302840932
283	0.2298563923
284	0.2295056029
285	0.2292089971
286	0.2289611161
287	0.228588397
288	0.2281558685
289	0.2281212403
290	0.2280638551
291	0.2277631394
292	0.2276165695
293	0.2273475219
294	0.2268979548
295	0.2262806109
296	0.2261153528
297	0.2258083506
298	0.2255614788
299	0.225110936
300	0.2247501456
301	0.2245801643
302	0.2241916516
303	0.2239227792
304	0.2236089777
305	0.2234131418
306	0.2231357053
307	0.2230040811
308	0.2225919553
309	0.2222931958
310	0.2218488368
311	0.221413907
312	0.220746381
313	0.2205299083
314	0.2202871621
315	0.2200699923
316	0.2196901363
317	0.2194159093
318	0.2186614767
319	0.2184599518
320	0.2181272293
321	0.2178132978
322	0.2175952637
323	0.2170298304
324	0.2168436492
325	0.2161986248
326	0.2159783502
327	0.2154964193
328	0.2150474714
329	0.2147934983
330	0.2146911179
331	0.2142146226
332	0.21394107
333	0.2137209615
334	0.2134398886
335	0.2131141037
336	0.2126405331
337	0.2124422817
338	0.2123289946
339	0.2119717319
340	0.2114517065
341	0.2111603097
342	0.2108990112
343	0.2101636522
344	0.2097481595
345	0.2094750258
346	0.2090372711
347	0.2087515563
348	0.208329951
349	0.2079568376
350	0.2074585755
351	0.2067593698
352	0.2063197433
353	0.2061736427
354	0.205806052
355	0.2055167212
356	0.2051506856
357	0.2049699478
